,generation no.,mean,sd,min_val,max_val
0,32,-21.93507064262505,0.0693475374996097,-22.06326062638304,-21.85298048710326
0,33,-21.93507064262505,0.0693475374996097,-22.06326062638304,-21.85298048710326
0,34,-21.93507064262505,0.0693475374996097,-22.06326062638304,-21.85298048710326
0,35,-21.93507064262505,0.0693475374996097,-22.06326062638304,-21.85298048710326
0,36,-21.93507064262505,0.0693475374996097,-22.06326062638304,-21.85298048710326
0,37,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,38,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,39,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,40,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,41,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,42,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,43,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,44,-21.97060612134635,0.06345026398307632,-22.06326062638304,-21.909996958962985
0,45,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,46,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,47,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,48,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,49,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,50,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,51,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,52,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,53,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,54,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,55,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,56,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,57,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
0,58,-22.023036294138443,0.09309205316496344,-22.172147822923442,-21.92107904862454
